ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
8260/3	Related	RT	Related term	Papillary renal cell carcinoma	C1306837	C6975	Papillary Renal Cell Carcinoma
8261/0	4	PT	Preferred term	Villous adenoma, NOS	C0206674	C7399	Villous Adenoma
8261/0	Related	RT	Related term	Villous papilloma	CL027919		
8261/2	4	PT	Preferred term	Adenocarcinoma in situ in villous adenoma	C0334304	C8376	Adenocarcinoma In Situ in Villous Adenoma
8261/3	4	PT	Preferred term	Adenocarcinoma in villous adenoma	C0334305	C4141	Adenocarcinoma in Villous Adenoma
8262/3	4	PT	Preferred term	Villous adenocarcinoma	C0334306	C4142	Villous Adenocarcinoma
8263/0	4	PT	Preferred term	Tubulovillous adenoma, NOS	C0334307	C4143	Tubulovillous Adenoma
8263/0	Related	RT	Related term	Papillotubular adenoma	C0334307	C4143	Tubulovillous Adenoma
8263/0	Synonym	SY	Synonym	Tubulo-papillary adenoma	C0334307	C4143	Tubulovillous Adenoma
8263/0	Synonym	SY	Synonym	Villoglandular adenoma	C0334307	C4143	Tubulovillous Adenoma
8263/2	4	PT	Preferred term	Adenocarcinoma in situ in tubulovillous adenoma	C0334308	C4144	Adenocarcinoma In Situ in Tubulovillous Adenoma
8263/3	4	PT	Preferred term	Adenocarcinoma in tubulovillous adenoma	C0334309	C4145	Adenocarcinoma in Tubulovillous Adenoma
8263/3	Related	RT	Related term	Papillotubular adenocarcinoma	CL017934		
8263/3	Synonym	SY	Synonym	Tubulopapillary adenocarcinoma	CL017934		
8264/0	4	PT	Preferred term	Papillomatosis, glandular	C1266038	C65198	Glandular Papillomatosis
8264/0	Related	RT	Related term	Biliary papillomatosis	C1879344	C6881	Bile Duct Papillary Neoplasm
8265/3	4	PT	Preferred term	Micropapillary carcinoma, NOS	C3472608		
8270/0	4	PT	Preferred term	Chromophobe adenoma	C0001432	C2857	Pituitary Gland Chromophobe Adenoma
8270/3	4	PT	Preferred term	Chromophobe carcinoma	C1266042	C4146	Chromophobe Renal Cell Carcinoma
8270/3	Synonym	SY	Synonym	Chromophobe adenocarcinoma	C1266042	C4146	Chromophobe Renal Cell Carcinoma
8271/0	4	PT	Preferred term	Prolactinoma	C0033375	C3342	Prolactin-Producing Pituitary Gland Adenoma
8272/0	4	PT	Preferred term	Pituitary adenoma, NOS	C0032000	C3329	Pituitary Gland Adenoma
8272/3	4	PT	Preferred term	Pituitary carcinoma, NOS	C0346300	C4536	Pituitary Gland Carcinoma
8280/0	4	PT	Preferred term	Acidophil adenoma	C0001433	C6780	Pituitary Gland Acidophil Adenoma
8280/0	Synonym	SY	Synonym	Eosinophil adenoma	C0001433	C6780	Pituitary Gland Acidophil Adenoma
8280/3	4	PT	Preferred term	Acidophil carcinoma	C0334311	C4147	Pituitary Gland Acidophil Carcinoma
8280/3	Synonym	SY	Synonym	Acidophil adenocarcinoma	C0334311	C4147	Pituitary Gland Acidophil Carcinoma
8280/3	Synonym	SY	Synonym	Eosinophil adenocarcinoma	C0334311	C4147	Pituitary Gland Acidophil Carcinoma
8280/3	Synonym	SY	Synonym	Eosinophil carcinoma	C0334311	C4147	Pituitary Gland Acidophil Carcinoma
8281/0	4	PT	Preferred term	Mixed acidophil-basophil adenoma	C0334312	C4148	Pituitary Gland Mixed Acidophil-Basophil Adenoma
8281/3	4	PT	Preferred term	Mixed acidophil-basophil carcinoma	C0334313		
8290/0	4	PT	Preferred term	Oxyphilic adenoma	C1510502	C3759	Oncocytic Adenoma
8290/0	Related	RT	Related term	Follicular adenoma, oxyphilic cell	CL017938		
8290/0	Related	RT	Related term	Hurthle cell adenoma	C1336750	C6042	Thyroid Gland Oncocytic Adenoma
8290/0	Related	RT	Related term	Hurthle cell tumor	C1336750	C6042	Thyroid Gland Oncocytic Adenoma
8290/0	Related	RT	Related term	Spindle cell oncocytoma	C3839856		
8290/0	Synonym	SY	Synonym	Oncocytic adenoma	C1510502	C3759	Oncocytic Adenoma
8290/0	Synonym	SY	Synonym	Oncocytoma	C1510502	C3759	Oncocytic Adenoma
8290/3	4	PT	Preferred term	Oxyphilic adenocarcinoma	C0205642	C3679	Oxyphilic Adenocarcinoma
8290/3	Related	RT	Related term	Follicular carcinoma, oxyphilic cell	CL017939		
8290/3	Related	RT	Related term	Hurthle cell adenocarcinoma	C0205642	C3679	Oxyphilic Adenocarcinoma
8290/3	Related	RT	Related term	Hurthle cell carcinoma	C0205642	C3679	Oxyphilic Adenocarcinoma
8290/3	Synonym	SY	Synonym	Oncocytic adenocarcinoma	C0205642	C3679	Oxyphilic Adenocarcinoma
8290/3	Synonym	SY	Synonym	Oncocytic carcinoma	C0205642	C3679	Oxyphilic Adenocarcinoma
8300/0	4	PT	Preferred term	Basophil adenoma	C0001431	C2856	Pituitary Gland Basophil Adenoma
8300/0	Synonym	SY	Synonym	Mucoid cell adenoma	C0001431	C2856	Pituitary Gland Basophil Adenoma
8300/3	4	PT	Preferred term	Basophil carcinoma	C0334314	C4150	Basophilic Adenocarcinoma
8300/3	Synonym	SY	Synonym	Basophil adenocarcinoma	C0334314	C4150	Basophilic Adenocarcinoma
8300/3	Synonym	SY	Synonym	Mucoid cell adenocarcinoma	C0334314	C4150	Basophilic Adenocarcinoma
8310/0	4	PT	Preferred term	Clear cell adenoma	C0334315	C4151	Clear Cell Adenoma
8310/3	4	PT	Preferred term	Clear cell adenocarcinoma, NOS	C0206681	C3766	Clear Cell Adenocarcinoma
8310/3	Related	RT	Related term	Clear cell adenocarcinoma, mesonephroid	C0206681	C3766	Clear Cell Adenocarcinoma
8310/3	Synonym	SY	Synonym	Clear cell carcinoma	C0206681	C3766	Clear Cell Adenocarcinoma
8311/1	4	OP	Obsolete preferred term	Hypernephroid tumor	C0334316		
8312/3	4	PT	Preferred term	Renal cell carcinoma, NOS	C0007134	C9385	Renal Cell Carcinoma
8312/3	Synonym	IS	Inactive (obsolete) synonym	Grawitz tumor	C0279702	C4033	Clear Cell Renal Cell Carcinoma
8312/3	Synonym	IS	Inactive (obsolete) synonym	Hypernephroma	C0279702	C4033	Clear Cell Renal Cell Carcinoma
8312/3	Synonym	SY	Synonym	Renal cell adenocarcinoma	C0007134	C9385	Renal Cell Carcinoma
8313/0	4	PT	Preferred term	Clear cell adenofibroma	CL448546	C8987	Clear Cell Adenofibroma
8313/0	Synonym	SY	Synonym	Clear cell cystadenofibroma	C1377853	C8988	Clear Cell Cystadenofibroma
8313/1	4	PT	Preferred term	Clear cell adenofibroma of borderline malignancy	C1266039		
8313/1	Synonym	SY	Synonym	Clear cell cystadenofibroma of borderline malignancy	C1266039		
8313/3	4	PT	Preferred term	Clear cell adenocarcinofibroma	C1266040		
8313/3	Synonym	SY	Synonym	Clear cell cystadenocarcinofibroma	C1266040		
8314/3	4	PT	Preferred term	Lipid-rich carcinoma	C0334318	C4152	Lipid-Rich Carcinoma
8315/3	4	PT	Preferred term	Glycogen-rich carcinoma	C0334319	C4153	Glycogen-Rich Carcinoma
8316/3	4	PT	Preferred term	Cyst-associated renal cell carcinoma	C1266041		
8317/3	4	PT	Preferred term	Renal cell carcinoma, chromophobe type	C1266042	C4146	Chromophobe Renal Cell Carcinoma
8317/3	Synonym	SY	Synonym	Chromophobe cell renal carcinoma	C1266042	C4146	Chromophobe Renal Cell Carcinoma
8318/3	4	PT	Preferred term	Renal cell carcinoma, sarcomatoid	C1266043	C27893	Sarcomatoid Renal Cell Carcinoma
8318/3	Synonym	SY	Synonym	Renal cell carcinoma, spindle cell	C1266043	C27893	Sarcomatoid Renal Cell Carcinoma
8319/3	4	PT	Preferred term	Collecting duct carcinoma	C1266044	C6194	Carcinoma of the Collecting Ducts of Bellini
8319/3	Synonym	SY	Synonym	Bellini duct carcinoma	C1266044	C6194	Carcinoma of the Collecting Ducts of Bellini
8319/3	Synonym	SY	Synonym	Renal carcinoma, collecting duct type	C1266044	C6194	Carcinoma of the Collecting Ducts of Bellini
8320/3	4	PT	Preferred term	Granular cell carcinoma	C0205644	C3681	Granular Cell Carcinoma
8320/3	Synonym	SY	Synonym	Granular cell adenocarcinoma	C0205644	C3681	Granular Cell Carcinoma
8321/0	4	PT	Preferred term	Chief cell adenoma	C0334320	C4154	Parathyroid Gland Chief Cell Adenoma
8322/0	4	PT	Preferred term	Water-clear cell adenoma	C0334321	C4155	Parathyroid Gland Water-Clear Cell Adenoma
8322/3	4	PT	Preferred term	Water-clear cell adenocarcinoma	C0334322	C4156	Water-Clear Cell Adenocarcinoma
8322/3	Synonym	SY	Synonym	Water-clear cell carcinoma	C0334322	C4156	Water-Clear Cell Adenocarcinoma
8323/0	4	PT	Preferred term	Mixed cell adenoma	C0334323	C4157	Mixed Cell Adenoma
8323/3	4	PT	Preferred term	Mixed cell adenocarcinoma	C0334324	C4158	Mixed Cell Adenocarcinoma
8324/0	4	PT	Preferred term	Lipoadenoma	C0334325	C4159	Lipoadenoma
8324/0	Synonym	SY	Synonym	Adenolipoma	C0334325	C4159	Lipoadenoma
8325/0	4	PT	Preferred term	Metanephric adenoma	C1266045	C27253	Metanephric Adenoma
8330/0	4	PT	Preferred term	Follicular adenoma	C0205647		
8330/1	4	PT	Preferred term	Atypical follicular adenoma	C1266046	C27729	Thyroid Gland Atypical Follicular Adenoma
8330/3	4	PT	Preferred term	Follicular adenocarcinoma, NOS	C0206682	C8054	Thyroid Gland Follicular Carcinoma
8330/3	Synonym	SY	Synonym	Follicular carcinoma, NOS	C0206682	C8054	Thyroid Gland Follicular Carcinoma
8331/3	4	PT	Preferred term	Follicular adenocarcinoma, well differentiated	C0206682	C8054	Thyroid Gland Follicular Carcinoma
8331/3	Synonym	SY	Synonym	Follicular carcinoma, well differentiated	C0206682	C8054	Thyroid Gland Follicular Carcinoma
8332/3	4	PT	Preferred term	Follicular adenocarcinoma, trabecular	C0334327		
8332/3	Related	RT	Related term	Follicular adenocarcinoma, moderately differentiated	C0334327		
8332/3	Synonym	SY	Synonym	Follicular carcinoma, moderately differentiated	C0334327		
8332/3	Synonym	SY	Synonym	Follicular carcinoma, trabecular	C0334327		
8333/0	4	PT	Preferred term	Microfollicular adenoma, NOS	C0334328	C4160	Thyroid Gland Fetal Adenoma
8333/0	Synonym	SY	Synonym	Fetal adenoma	C0334328	C4160	Thyroid Gland Fetal Adenoma
8333/3	4	PT	Preferred term	Fetal adenocarcinoma	C1266047		
8334/0	4	PT	Preferred term	Macrofollicular adenoma	C0334329	C4161	Thyroid Gland Macrofollicular Adenoma
8334/0	Synonym	SY	Synonym	Colloid adenoma	C0334329	C4161	Thyroid Gland Macrofollicular Adenoma
8335/3	4	PT	Preferred term	Follicular carcinoma, minimally invasive	C1266048		
8335/3	Synonym	SY	Synonym	Follicular carcinoma, encapsulated	C1266048		
8336/0	4	PT	Preferred term	Hyalinizing trabecular adenoma	C1266049	C6846	Thyroid Gland Hyalinizing Trabecular Tumor
8337/3	4	PT	Preferred term	Insular carcinoma	C1266050	C6040	Poorly Differentiated Thyroid Gland Carcinoma
8340/3	4	PT	Preferred term	Papillary carcinoma, follicular variant	CL329996		
8340/3	Synonym	SY	Synonym	Papillary adenocarcinoma, follicular variant	CL329996		
8340/3	Synonym	SY	Synonym	Papillary and follicular adenocarcinoma	C0206683	C7380	Thyroid Gland Papillary and Follicular Carcinoma
8340/3	Synonym	SY	Synonym	Papillary and follicular carcinoma	C0206683	C7380	Thyroid Gland Papillary and Follicular Carcinoma
8341/3	4	PT	Preferred term	Papillary microcarcinoma	C1266051		
8342/3	4	PT	Preferred term	Papillary carcinoma, oxyphilic cell	C1266052		
8343/3	4	PT	Preferred term	Papillary carcinoma, encapsulated	C1266053		
8344/3	4	PT	Preferred term	Papillary carcinoma, columnar cell	C1266054	C35830	Columnar Cell Variant Thyroid Gland Papillary Carcinoma
8344/3	Synonym	SY	Synonym	Papillary carcinoma, tall cell	C1336695	C35558	Tall Cell Variant Thyroid Gland Papillary Carcinoma
8345/3	4	PT	Preferred term	Medullary carcinoma with amyloid stroma	C0334379	C4193	Thyroid Gland Medullary Carcinoma with Amyloid Stroma
8345/3	Synonym	SY	Synonym	C cell carcinoma	C0238462	C3879	Thyroid Gland Medullary Carcinoma
8345/3	Synonym	SY	Synonym	Parafollicular cell carcinoma	C0238462	C3879	Thyroid Gland Medullary Carcinoma
8346/3	4	PT	Preferred term	Mixed medullary-follicular carcinoma	C1266055		
8347/3	4	PT	Preferred term	Mixed medullary-papillary carcinoma	C1266056		
8350/3	4	PT	Preferred term	Nonencapsulated sclerosing carcinoma	C0334330	C7427	Thyroid Gland Diffuse Sclerosing Papillary Carcinoma
8350/3	Related	RT	Related term	Papillary carcinoma, diffuse sclerosing	CL017960		
8350/3	Synonym	SY	Synonym	Nonencapsulated sclerosing adenocarcinoma	C0334330	C7427	Thyroid Gland Diffuse Sclerosing Papillary Carcinoma
8350/3	Synonym	SY	Synonym	Nonencapsulated sclerosing tumor	C0334330	C7427	Thyroid Gland Diffuse Sclerosing Papillary Carcinoma
8360/1	4	PT	Preferred term	Multiple endocrine adenomas	C0027662	C6432	Multiple Endocrine Neoplasia
8360/1	Synonym	SY	Synonym	Endocrine adenomatosis	C0027662	C6432	Multiple Endocrine Neoplasia
8361/0	4	PT	Preferred term	Juxtaglomerular tumor	C0334331	C4162	Juxtaglomerular Cell Tumor
8361/0	Synonym	SY	Synonym	Reninoma	C0334331	C4162	Juxtaglomerular Cell Tumor
8370/0	4	PT	Preferred term	Adrenal cortical adenoma, NOS	C0206667	C9003	Adrenal Cortex Adenoma
8370/0	Synonym	SY	Synonym	Adrenal cortical tumor, NOS	C0001618	C2858	Adrenal Cortex Neoplasm
8370/0	Synonym	SY	Synonym	Adrenal cortical tumor, benign	C1368669	C9004	Benign Adrenal Cortex Neoplasm
8370/3	4	PT	Preferred term	Adrenal cortical carcinoma	C0206686	C9325	Adrenal Cortex Carcinoma
8370/3	Synonym	SY	Synonym	Adrenal cortical adenocarcinoma	C0206686	C9325	Adrenal Cortex Carcinoma
8370/3	Synonym	SY	Synonym	Adrenal cortical tumor, malignant	C0346402	C9327	Malignant Adrenal Cortex Neoplasm
8371/0	4	PT	Preferred term	Adrenal cortical adenoma, compact cell	C0334332	C4163	Adrenal Cortex Compact Cell Adenoma
8372/0	4	PT	Preferred term	Adrenal cortical adenoma, pigmented	C0334333	C4164	Pigmented Adrenal Cortex Adenoma
8372/0	Synonym	SY	Synonym	Black adenoma	C0334333	C4164	Pigmented Adrenal Cortex Adenoma
8372/0	Synonym	SY	Synonym	Pigmented adenoma	C0334333	C4164	Pigmented Adrenal Cortex Adenoma
8373/0	4	PT	Preferred term	Adrenal cortical adenoma, clear cell	C0334334	C4165	Adrenal Cortex Clear Cell Adenoma
8374/0	4	PT	Preferred term	Adrenal cortical adenoma, glomerulosa cell	C0334335	C4166	Adrenal Cortex Glomerulosa Cell Adenoma
8375/0	4	PT	Preferred term	Adrenal cortical adenoma, mixed cell	C0334336	C4167	Adrenal Cortex Mixed Cell Adenoma
8380/0	4	PT	Preferred term	Endometrioid adenoma, NOS	C0334337		
8380/0	Synonym	SY	Synonym	Endometrioid cystadenoma, NOS	C0334337		
8380/1	4	PT	Preferred term	Endometrioid adenoma, borderline malignancy	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8380/1	Synonym	SY	Synonym	Atypical proliferative endometrioid tumor	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8380/1	Synonym	SY	Synonym	Endometrioid cystadenoma, borderline malignancy	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8380/1	Synonym	SY	Synonym	Endometrioid tumor of low malignant potential	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8380/3	4	PT	Preferred term	Endometrioid adenocarcinoma, NOS	C0206687	C3769	Endometrioid Adenocarcinoma
8380/3	Related	RT	Related term	Endometrioid cystadenocarcinoma	C0206687	C3769	Endometrioid Adenocarcinoma
8380/3	Synonym	SY	Synonym	Endometrioid carcinoma, NOS	C0206687	C3769	Endometrioid Adenocarcinoma
8381/0	4	PT	Preferred term	Endometrioid adenofibroma, NOS	C2212024	C27287	Ovarian Endometrioid Adenofibroma
8381/0	Synonym	SY	Synonym	Endometrioid cystadenofibroma, NOS	C1335158	C27288	Ovarian Endometrioid Cystadenofibroma
8381/1	4	PT	Preferred term	Endometrioid adenofibroma, borderline malignancy	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8381/1	Synonym	SY	Synonym	Endometrioid cystadenofibroma, borderline malignancy	C0334338	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
8381/3	4	PT	Preferred term	Endometrioid adenofibroma, malignant	C0334341		
8381/3	Synonym	SY	Synonym	Endometrioid cystadenofibroma, malignant	C0334341		
8382/3	4	PT	Preferred term	Endometrioid adenocarcinoma, secretory variant	C1266057	C27839	Endometrial Endometrioid Adenocarcinoma, Secretory Variant
8383/3	4	PT	Preferred term	Endometrioid adenocarcinoma, ciliated cell variant	C1266058	C27848	Endometrial Endometrioid Adenocarcinoma, Ciliated Variant
8384/3	4	PT	Preferred term	Adenocarcinoma, endocervical type	C1266059	C66951	Adenocarcinoma, Endocervical Type
839-842	2	HT	Hierarchical term	Adnexal and skin appendage neoplasms	C0206766		
8390/0	4	PT	Preferred term	Skin appendage adenoma	C0334342	C7580	Skin Appendage Adenoma
8390/0	Synonym	SY	Synonym	Adnexal tumor, benign	C0334342	C7580	Skin Appendage Adenoma
8390/0	Synonym	SY	Synonym	Skin appendage tumor, benign	C0347391	C4615	Benign Skin Appendage Neoplasm
8390/3	4	PT	Preferred term	Skin appendage carcinoma	C0206697	C3775	Adnexal Carcinoma
8390/3	Synonym	SY	Synonym	Adnexal carcinoma	C0206697	C3775	Adnexal Carcinoma
8391/0	4	PT	Preferred term	Follicular fibroma	C0346011	C43331	Fibrofolliculoma
8391/0	Synonym	SY	Synonym	Fibrofolliculoma	C0346011	C43331	Fibrofolliculoma
8391/0	Synonym	SY	Synonym	Perifollicular fibroma	C1704236	C4470	Perifollicular Fibroma
8391/0	Synonym	SY	Synonym	Trichodiscoma	C1704237	C43333	Trichodiscoma
8392/0	4	PT	Preferred term	Syringofibroadenoma	C1266060	C43356	Syringofibroadenoma
8400/0	4	PT	Preferred term	Sweat gland adenoma	C0019522	C7560	Sweat Gland Adenoma
8400/0	Synonym	SY	Synonym	Hidradenoma, NOS	C0206671	C7563	Hidradenoma
8400/0	Synonym	SY	Synonym	Sweat gland tumor, benign	C0684354	C4879	Benign Sweat Gland Neoplasm
8400/0	Synonym	SY	Synonym	Syringadenoma, NOS	CL495896		
8400/1	4	PT	Preferred term	Sweat gland tumor, NOS	C0038987	C3398	Sweat Gland Neoplasm
8400/3	4	PT	Preferred term	Sweat gland adenocarcinoma	C0334344		
8400/3	Synonym	SY	Synonym	Sweat gland carcinoma	C1412016	C6938	Sweat Gland Carcinoma
8400/3	Synonym	SY	Synonym	Sweat gland tumor, malignant	C1321904	C4810	Malignant Sweat Gland Neoplasm
8401/0	4	PT	Preferred term	Apocrine adenoma	C0334345	C4168	Apocrine Adenoma
8401/0	Synonym	SY	Synonym	Apocrine cystadenoma	C1704335	C43342	Apocrine Hidrocystoma
8401/3	4	PT	Preferred term	Apocrine adenocarcinoma	C0334346		
8402/0	4	PT	Preferred term	Nodular hidradenoma	C1370700	C7568	Nodular Hidradenoma
8402/0	Related	RT	Related term	Clear cell hidradenoma	C1370701	C7567	Clear Cell Hidradenoma
8402/0	Related	RT	Related term	Eccrine acrospiroma	C0206671	C7563	Hidradenoma
8402/3	4	PT	Preferred term	Nodular hidradenoma, malignant	C0334344		
8402/3	Synonym	SY	Synonym	Hidradenocarcinoma	CL480948	C54664	Hidradenocarcinoma
8403/0	4	PT	Preferred term	Eccrine spiradenoma	C0334347	C4170	Spiradenoma
8403/0	Synonym	SY	Synonym	Spiradenoma, NOS	C0334347	C4170	Spiradenoma
8403/3	4	PT	Preferred term	Malignant eccrine spiradenoma	C1266063	C5117	Spiradenocarcinoma
8404/0	4	PT	Preferred term	Hidrocystoma	C0206672	C3760	Hidrocystoma
8404/0	Synonym	SY	Synonym	Eccrine cystadenoma	C1704334	C7565	Eccrine Hidrocystoma
8405/0	4	PT	Preferred term	Papillary hidradenoma	C0334348	C4171	Papillary Hidradenoma
8405/0	Synonym	SY	Synonym	Hidradenoma papilliferum	C0334348	C4171	Papillary Hidradenoma
8406/0	4	PT	Preferred term	Papillary syringadenoma	C0406803	C4172	Syringocystadenoma Papilliferum
8406/0	Synonym	SY	Synonym	Papillary syringocystadenoma	C0406803	C4172	Syringocystadenoma Papilliferum
8406/0	Synonym	SY	Synonym	Syringocystadenoma papilliferum	C0406803	C4172	Syringocystadenoma Papilliferum
8407/0	4	PT	Preferred term	Syringoma, NOS	C0206673	C3761	Syringoma
8407/3	4	PT	Preferred term	Sclerosing sweat duct carcinoma	C0346027	C7581	Microcystic Adnexal Carcinoma
8407/3	Synonym	SY	Synonym	Microcystic adnexal carcinoma	C0346027	C7581	Microcystic Adnexal Carcinoma
8407/3	Synonym	SY	Synonym	Syringomatous carcinoma	C0346027	C7581	Microcystic Adnexal Carcinoma
8408/0	4	PT	Preferred term	Eccrine papillary adenoma	C0334350	C4173	Papillary Eccrine Adenoma
8408/1	4	PT	Preferred term	Aggressive digital papillary adenoma	C1266064		
8408/3	4	PT	Preferred term	Eccrine papillary adenocarcinoma	C1367789	C27534	Digital Papillary Eccrine Carcinoma
8408/3	Related	RT	Related term	Digital papillary adenocarcinoma	CL053818		
8409/0	4	PT	Preferred term	Eccrine poroma	C1533161	C27273	Poroma
8409/3	4	PT	Preferred term	Eccrine poroma, malignant	C1266065	C5560	Eccrine Porocarcinoma
8409/3	Synonym	SY	Synonym	Porocarcinoma	C1266065	C5560	Eccrine Porocarcinoma
8410/0	4	PT	Preferred term	Sebaceous adenoma	C1368816	C4174	Sebaceous Adenoma
8410/0	Related	RT	Related term	Sebaceous epithelioma	C0334683	C4346	Skin Basal Cell Carcinoma with Sebaceous Differentiation
8410/3	4	PT	Preferred term	Sebaceous adenocarcinoma	C0206684	C40310	Sebaceous Carcinoma
8410/3	Synonym	SY	Synonym	Sebaceous carcinoma	C0206684	C40310	Sebaceous Carcinoma
8413/3	4	PT	Preferred term	Eccrine adenocarcinoma	C1266066		
8420/0	4	PT	Preferred term	Ceruminous adenoma	C0334352	C6088	External Auditory Canal Ceruminous Adenoma
8420/3	4	PT	Preferred term	Ceruminous adenocarcinoma	C0334353	C4176	Ceruminous Adenocarcinoma
8420/3	Synonym	SY	Synonym	Ceruminous carcinoma	C0334353	C4176	Ceruminous Adenocarcinoma
843	2	HT	Hierarchical term	Mucoepidermoid neoplasms	C0206712		
8430/1	4	OP	Obsolete preferred term	Mucoepidermoid tumor	C0206712		
8430/3	4	PT	Preferred term	Mucoepidermoid carcinoma	C0206694	C3772	Mucoepidermoid Carcinoma
844-849	2	HT	Hierarchical term	Cystic, mucinous and serous neoplasms	C0206767		
8440/0	4	PT	Preferred term	Cystadenoma, NOS	C0010633	C2972	Cystadenoma
8440/0	Synonym	SY	Synonym	Cystoma, NOS	C0010633	C2972	Cystadenoma
8440/3	4	PT	Preferred term	Cystadenocarcinoma, NOS	C0010631	C2971	Cystadenocarcinoma
8441/0	4	PT	Preferred term	Serous cystadenoma, NOS	C0206709	C3783	Serous Cystadenoma
8441/0	Related	RT	Related term	Serous microcystic adenoma	CL017979		
8441/0	Synonym	SY	Synonym	Serous cystoma	C0206709	C3783	Serous Cystadenoma
8441/3	4	PT	Preferred term	Serous cystadenocarcinoma, NOS	C0206701	C3778	Serous Cystadenocarcinoma
8441/3	Synonym	SY	Synonym	Serous adenocarcinoma, NOS	C0206701	C3778	Serous Cystadenocarcinoma
8441/3	Synonym	SY	Synonym	Serous carcinoma, NOS	C0206701	C3778	Serous Cystadenocarcinoma
8442/1	4	PT	Preferred term	Serous cystadenoma, borderline malignancy	C0334355	C4177	Borderline Serous Cystadenoma
8442/1	Synonym	SY	Synonym	Atypical proliferating serous tumor	C0334355	C4177	Borderline Serous Cystadenoma
8442/1	Synonym	SY	Synonym	Serous tumor, NOS, of low malignant potential	C0334355	C4177	Borderline Serous Cystadenoma
8443/0	4	PT	Preferred term	Clear cell cystadenoma	C1266068		
8444/1	4	PT	Preferred term	Clear cell cystic tumor of borderline malignancy	C1266069		
8444/1	Synonym	SY	Synonym	Atypical proliferating clear cell tumor	C1266069		
8450/0	4	PT	Preferred term	Papillary cystadenoma, NOS	C0010636	C2974	Papillary Cystadenoma
8450/3	4	PT	Preferred term	Papillary cystadenocarcinoma, NOS	C0206700	C3777	Papillary Cystadenocarcinoma
8450/3	Synonym	SY	Synonym	Papillocystic adenocarcinoma	C0206700	C3777	Papillary Cystadenocarcinoma
8451/1	4	PT	Preferred term	Papillary cystadenoma, borderline malignancy	C0334356	C4178	Borderline Papillary Cystadenoma
8452/1	4	PT	Preferred term	Solid pseudopapillary tumor	C0334357	C4179	Papillary Cystic Neoplasm
8452/1	Synonym	SY	Synonym	Papillary cystic tumor	C0334357	C4179	Papillary Cystic Neoplasm
8452/1	Synonym	SY	Synonym	Solid and cystic tumor	C0334357	C4179	Papillary Cystic Neoplasm
8452/1	Synonym	SY	Synonym	Solid and papillary epithelial neoplasm	C0334357	C4179	Papillary Cystic Neoplasm
8452/3	4	PT	Preferred term	Solid pseudopapillary carcinoma	C1266070		
8453/0	4	PT	Preferred term	Intraductal papillary-mucinous adenoma	C1266071		
8453/0	Related	RT	Related term	Intraductal papillary-mucinous tumor with intermediate dysplasia	C1266072		
8453/0	Related	RT	Related term	Intraductal papillary-mucinous tumor with low grade dysplasia	CL497939		
8453/0	Related	RT	Related term	Intraductal papillary-mucinous tumor with moderate dysplasia	C1266072		
8453/0	Synonym	SY	Synonym	Intraductal papillary-mucinous neoplasm with low grade dysplasia	CL497939		
8453/0	Synonym	SY	Synonym	Intraductal papillary-mucinous neoplasm with moderate dysplasia	C1266072		
8453/2	4	PT	Preferred term	Intraductal papillary-mucinous carcinoma, non-invasive	C1266073		
8453/2	Related	RT	Related term	Intraductal papillary mucinous neoplasm with high grade dysplasia	C3532881	C41251	Pancreatic Intraductal Papillary-Mucinous Neoplasm with High Grade Dysplasia
8453/3	4	PT	Preferred term	Intraductal papillary-mucinous carcinoma, invasive	C1266074		
8453/3	Related	RT	Related term	Intraductal papillary mucinous neoplasm with an associated invasive carcinoma	CL497942		
8454/0	4	PT	Preferred term	Cystic tumor of atrio-ventricular node	C1266075	C45754	Cystic Tumor of Atrioventricular Node
8460/0	4	PT	Preferred term	Papillary serous cystadenoma, NOS	C0334358	C4180	Papillary Serous Cystadenoma
8460/3	4	PT	Preferred term	Papillary serous cystadenocarcinoma	C0334359	C8377	Papillary Serous Cystadenocarcinoma
8460/3	Related	RT	Related term	Micropapillary serous carcinoma	CL017991	C6882	Micropapillary Serous Carcinoma
8460/3	Synonym	SY	Synonym	Papillary serous adenocarcinoma	C0334359	C8377	Papillary Serous Cystadenocarcinoma
8461/0	4	PT	Preferred term	Serous surface papilloma	C0334360	C4181	Serous Surface Papilloma
8461/3	4	PT	Preferred term	Serous surface papillary carcinoma	CL512816	C4182	Serous Surface Papillary Carcinoma
8461/3	Related	RT	Related term	Primary serous papillary carcinoma of peritoneum	C1368918	C7695	Primary Peritoneal Serous Papillary Adenocarcinoma
8462/1	4	PT	Preferred term	Serous papillary cystic tumor of borderline malignancy	C0334362	C4183	Borderline Papillary Serous Cystadenoma
